<Event(17-VideoExpose {})>
<Event(16-VideoResize {'size': (600, 400), 'w': 600, 'h': 400})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(4-MouseMotion {'pos': (481, 96), 'rel': (4, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (488, 87), 'rel': (7, -9), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (493, 80), 'rel': (5, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (498, 75), 'rel': (5, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (503, 68), 'rel': (5, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (506, 62), 'rel': (3, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (510, 56), 'rel': (4, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (514, 51), 'rel': (4, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (515, 49), 'rel': (1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (517, 47), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (518, 44), 'rel': (1, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (519, 43), 'rel': (1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (520, 42), 'rel': (1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (520, 41), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (522, 39), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (524, 37), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (528, 34), 'rel': (4, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (532, 30), 'rel': (4, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (541, 26), 'rel': (9, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (547, 22), 'rel': (6, -4), 'buttons': (0, 0, 0)})>
